gene,log2fold,p_mwu,p_wilcoxon,p_student,p_corr,interesting
1200014J11Rik,-0.00228205128205516,0.952184846411383,0.994496550825716,0.949819830112042,0.968329787603653,FALSE
1200014M14Rik,-0.170564102564101,6.14E-07,1.28E-06,3.97E-07,5.88E-06,FALSE
1200016B10Rik,-0.203589743589744,0.000126829789328751,6.84E-05,0.000114893020624125,0.000556982557023255,TRUE
1300001I01Rik,0.0874615384615396,0.00538006738013028,0.0137069694537786,0.0095578062907104,0.0138851171208619,FALSE
1300002K09Rik,-0.0123333333333342,0.726509229942254,0.704260835842433,0.797531683210539,0.795275744683665,FALSE
1300003B13Rik,-0.0171282051282073,0.726509229942254,0.434664082873496,0.701930695402639,0.795275744683665,FALSE
1300010F03Rik,-0.143307692307689,0.000189478784161904,1.47E-05,0.000105554266737821,0.000786250128573265,FALSE
1300014I06Rik,0.0363589743589738,0.206154400443726,0.199107145570451,0.275490071027361,0.29455158420738,FALSE
1300017J02Rik,0.10287179487179,0.000757496394591874,0.00012861097275163,0.000935965185349725,0.00256532279301197,FALSE
1300018I05Rik,-0.0894102564102575,0.000161495354700187,0.000114455853381417,0.000220653164239749,0.000686568438335833,FALSE
1300018I17Rik,0.0414358974358979,0.0495548681484277,0.138457190008921,0.0634983671328681,0.0902601576670177,FALSE
1300018J18Rik,-0.105179487179491,7.42E-05,4.08E-05,3.56E-05,0.000349209555254795,FALSE
1500001A10Rik,0.195743589743595,7.56E-06,4.53E-07,1.51E-06,4.94E-05,FALSE
1500001M20Rik,-0.0787692307692289,0.0153703589363611,0.00236109847901389,0.0182181384578384,0.0339184765507991,FALSE
1500002C15Rik,-0.0498205128205136,0.172534455228864,0.199107145570451,0.186886490919337,0.255011834422409,FALSE
1500002O20Rik,0.0788205128205135,0.00554873216699014,0.0081912964960793,0.0129454125506767,0.0142464518172569,FALSE
1500003O03Rik,-0.100794871794875,0.248400611229657,0.0475047791514953,0.231253402324345,0.34215413488516,FALSE
1500009C09Rik,0.0682820512820523,0.0232945280244199,0.0101950958014641,0.0387234242405222,0.0481798798489916,FALSE
1500010J02Rik,-0.0205128205128187,0.32002911477706,0.521414094303348,0.481076149571828,0.419117802234927,FALSE
1500011B03Rik,0.0622051282051324,0.339888268026724,0.11720887143747,0.20592600273382,0.439511647381015,FALSE
1500011H22Rik,0.12879487179487,0.00173026870449721,0.00494850223185495,0.000522173286731326,0.00524980098170172,FALSE
1500011K16Rik,-0.140307692307692,0.000353286690137345,0.000104591588751646,0.000487501941521313,0.00133541228155782,FALSE
1500012F01Rik,0.0857435897435863,0.0543843668543398,0.077378647387377,0.0381680052567581,0.0975239603308252,FALSE
1500015L24Rik,-0.295153846153845,9.29E-10,5.40E-09,1.45E-12,2.53E-08,TRUE
1500015O10Rik,0.15374358974359,0.000209104350095233,7.35E-05,0.000135288692599369,0.000856853206979649,FALSE
1500031L02Rik,0.177871794871797,2.42E-05,1.56E-06,5.06E-06,0.000133750648853406,FALSE
1500032L24Rik,-0.0701282051282028,0.0248572819989939,0.00624689357937314,0.0338389022518012,0.0508818538448767,FALSE
1500035H01Rik,0.0929743589743612,0.0794505871081148,0.000283623532595811,0.0368184297117457,0.13392670767593,FALSE
1500035N22Rik,0.146128205128204,0.000403591409075853,0.00105502974111005,0.000518071550352036,0.00149794553616508,FALSE
1500041N16Rik,-0.0637948717948706,0.0320610921622012,0.00471942100921297,0.0501724839422553,0.0628499891364132,FALSE
1520401A03Rik,0.185717948717947,1.38E-05,3.62E-08,9.13E-06,8.27E-05,FALSE
1520402A15Rik,0.01520512820513,0.631444676420568,0.950499649046833,0.780681546397756,0.71557690503376,FALSE
1600002H07Rik,0.16669230769231,0.0820536959735201,0.00195967494402547,0.189008522895572,0.137493201485014,FALSE
1600002K03Rik,0.0428205128205121,0.185451058192955,0.246949680353282,0.266520530945498,0.270540169915178,FALSE
1600012F09Rik,-0.0287521367521357,0.317627846929894,0.184737963962107,0.341381086406256,0.416594837227663,FALSE
1600012H06Rik,-0.119307692307693,0.000181994311151325,2.57E-05,0.000508846996451735,0.000761115837655405,FALSE
1600012P17Rik,0.130564102564101,0.000859529172338343,0.00124634156964021,0.000774211668132775,0.00286859480483117,FALSE
1600014C10Rik,-0.0773333333333373,0.0304870798135103,0.00236109847901389,0.0134194220647482,0.0602671632685931,FALSE
1600014C23Rik,0.22646153846154,9.39E-09,6.12E-08,2.14E-10,1.74E-07,TRUE
1600014K23Rik,0.0250512820512796,0.450528814516606,0.350165842359274,0.541637712241354,0.549928550021735,FALSE
1600015I10Rik,-0.144589743589744,0.000213366269953732,0.000219257708522491,0.000168933674099933,0.000870729233834261,FALSE
1600016N20Rik,0.259333333333336,2.01E-10,3.71E-07,4.03E-12,7.31E-09,TRUE
1600017P15Rik,0.0665897435897431,0.0602616263444901,0.0106432508291618,0.070380822251668,0.106276768295863,FALSE
1600021P15Rik,-0.165589743589742,1.28E-07,6.15E-10,1.89E-08,1.55E-06,FALSE
1600027N09Rik,-0.260435897435902,1.28E-11,3.64E-12,1.32E-13,9.12E-10,TRUE
1600029D21Rik,0.216051282051284,0.00145781573966919,0.000112099809484789,0.000345211913842825,0.00453793574595317,TRUE
1600029O15Rik,0.128564102564102,0.0117906735363952,0.00471942100921297,0.0152737116624318,0.0270442223683172,FALSE
1700001C02Rik,0.122974358974361,0.000679212052795165,3.25E-05,0.000611511370958587,0.00233736478907064,FALSE
1700001C19Rik,-0.0314358974358964,0.462627319051523,0.402687910012901,0.508466964888724,0.561476810294871,FALSE
1700001E04Rik,-0.053051282051281,0.0304891813481771,0.00518731182091869,0.0107637174122436,0.0602671632685931,FALSE
1700001G17Rik,-0.206102564102566,2.89E-05,5.11E-05,6.97E-06,0.000155421007523893,TRUE
1700001J03Rik,0.0334615384615358,0.384597118161594,0.459557507547288,0.462334540255837,0.484961128537972,FALSE
1700001K19Rik,0.190410256410254,1.07E-05,1.47E-05,4.31E-06,6.68E-05,FALSE
1700001K23Rik,-0.0538974358974382,0.211596139414156,0.199107145570451,0.172595131164005,0.300528673936601,FALSE
1700001L05Rik,-0.0444615384615403,0.624361210465285,0.45117421328905,0.537946407978826,0.709016792000754,FALSE
1700001L19Rik,-0.0501538461538482,0.125021640431695,0.0599908589683764,0.173208299914166,0.195422757934186,FALSE
1700001O22Rik,0.0132307692307627,0.952186658270035,0.961490181813133,0.772435718633744,0.968329787603653,FALSE
1700001P01Rik,-0.0270512820512829,0.260889607404193,0.485211328577861,0.479271857322301,0.35636105931226,FALSE
1700003E16Rik,0.0710256410256376,0.0847255503165489,0.0387742860731651,0.088075655902444,0.141154445292447,FALSE
1700003E24Rik//1700003E24Rik,-0.0891666666666691,0.000991221394219696,0.000794073541328544,0.00220603325868121,0.00325509474966014,FALSE
1700003F12Rik,0.00538461538461643,0.972097330380035,0.939518311377469,0.892476324375796,0.98185571103294,FALSE
1700003H04Rik,0.0911794871794891,0.0155844148560019,0.0115909655105497,0.012064711134971,0.0343165472871743,FALSE
1700003M02Rik,-0.126769230769233,0.000134747113241155,0.000120096792670665,1.97E-05,0.000586090057155615,FALSE
1700003O11Rik,-0.0478717948717922,0.157322261008227,0.204069571849686,0.137952187853967,0.236362764767471,FALSE
1700006A11Rik,-0.114,0.000435206950667107,0.00146820266672876,0.000225192935097414,0.00159978737865549,FALSE
1700006E09Rik,-0.0388974358974332,0.211578809404707,0.194231443034369,0.249820536281364,0.300528673936601,FALSE
1700006J14Rik,0.0885128205128227,0.0316614764357495,0.0334361478635401,0.0435923972093602,0.0622272808604384,FALSE
1700007B14Rik,0.124641025641027,0.000496069830378882,0.00248540512984619,0.00113557297026938,0.0017928740101476,FALSE
1700007G11Rik,-0.0381794871794865,0.246337628173515,0.258568274301069,0.240948416919364,0.339881460484792,FALSE
1700007I08Rik,-0.0229230769230746,0.545442541593052,0.805262752560644,0.615960096297992,0.638283825268466,FALSE
1700007K09Rik,0.173102564102565,4.45E-05,1.47E-05,2.94E-05,0.000225392260684279,FALSE
1700007K13Rik,-0.133358974358976,0.000353225718442636,0.00105502974111005,0.000317085699959415,0.00133541228155782,FALSE
1700007N14Rik,0.175000000000002,0.000107731603831056,1.05E-05,0.000101912885339439,0.000482377685251738,FALSE
1700008A04Rik,0.259692307692307,9.21E-08,1.64E-07,1.65E-08,1.18E-06,TRUE
1700008F21Rik,-0.0299743589743589,0.415360491422211,0.289213247175212,0.416853814337984,0.515680162719729,FALSE
1700008I05Rik,-0.0274358974358986,0.555412468516406,0.264514153954224,0.37649794250354,0.647257163835624,FALSE
1700008J07Rik,0.165512820512824,6.54E-05,2.20E-05,2.58E-05,0.000313153974925394,FALSE
1700008O03Rik,0.17502564102564,6.12E-06,9.68E-06,1.25E-05,4.14E-05,FALSE
1700008P02Rik,0.0871794871794887,0.048982270336266,0.0288793277541117,0.019150459703511,0.0893611353890841,FALSE
1700009J07Rik,0.0243589743589743,0.254585754737259,0.241276412722073,0.50299043481329,0.349284234496841,FALSE
1700009N14Rik,0.0041794871794858,0.749119687691034,0.863076299236127,0.916560808660866,0.812781575794839,FALSE
1700009P17Rik,-0.33630769230769,0.000201136356526045,1.01E-08,7.16E-05,0.000828016856387943,TRUE
